Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","4.102","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.146","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","4.198","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.298","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.633","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.059","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.852","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.702","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.727","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6226","Valeur","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.129","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","65.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","64.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","65","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","65.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2017","2017","millions","37.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2018","2018","millions","37.5","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2019","2019","millions","38","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","710","Afrique du Sud","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2020","2020","millions","38.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.952","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.051","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","4.117","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.197","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.599","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.204","E","Valeur estimée"
