Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","35643.418","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","18028.696","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","17614.722","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","26558.609","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","8971.472","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","56641.209","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","27465.269","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","29175.94","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","19369.002","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","37348.154","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2879.355","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","1443.175","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","1436.18","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","1190.155","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","1740.032","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","41136.546","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","20961.313","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","20175.233","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","11547.532","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","29770.61","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","82624.374","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","40750.817","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","41873.558","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","18672.1","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","63442.124","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","73.837","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","37.38","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","36.456","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","9.12","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","67.845","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","30208.628","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","14915.293","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","15293.335","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","10472.554","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","19311.639","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","15.015","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","7.386","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","7.628","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","14.909","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","91.119","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","43.461","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","47.658","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","76.802","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","25.21","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","34193.122","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","512","Hommes","3010","Population-Estimations","2017","2017","1000 personnes","19828.621","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","513","Femmes","3010","Population-Estimations","2017","2017","1000 personnes","14364.501","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","551","Population rurale","3010","Population-Estimations","2017","2017","1000 personnes","5394.59","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 personnes","27543.623","X","Ciffre de sources internationales",""
