Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB par habitant,Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Population totale,Population urbaine,Part de l'élevage de poulet (%),Political_Stability,distance_km
Afrique du Sud,1.6250524200326912,2.800168222401034,0.06714528457628696,4.396786740163692,2.7967391770170815,3.7385265175204068,1.981279070565238,-0.30324969573054,1.6794265764742078,0.957358962621798,0.7955393469049014,1.1798448602234393,-0.2417776247259756,-0.18547199400492834,0.8528393826282498
Albanie,-0.005784115283576038,-0.47813222014245493,-0.2896455267310826,-0.1976981197663508,-0.4725000179856858,-0.3582991314758825,-0.5096457326927124,-0.4210337151171853,1.3793062751804377,1.7204690141643162,-0.516932769863821,-0.5207678982632902,-0.3628478928748996,0.6312639496167356,-1.1117302176504293
Algérie,-0.8970310880869884,-0.11405249933849436,-0.2896455267310826,-0.545180167996354,-0.11564644388327106,0.2833723557163074,-0.1150736054535449,-0.4506695456235309,1.001154695550288,0.45739030816290693,0.4170286306004434,0.8179479872461289,0.29482527229588856,-0.9774583635774508,-1.1776565130476855
Angola,-0.5583987883971138,-0.04756837640907547,-0.2896455267310826,2.109196589316171,-0.03177763153662058,-0.2595804411386225,-0.46597171860898773,-0.4516867623001385,2.129607028414861,0.7047432214215159,0.15024862577890163,0.3184366812793973,-0.45897403542530146,-0.24734592912778164,0.13163933079386994
Antigua-et-Barbuda,2.3854169702565815,-0.5414504324561872,-0.2896455267310826,-0.4969187724088536,-0.5415684516829273,-0.3582991314758825,-0.5292237390061062,0.37528514961404263,1.6994345965604587,-1.0267271713887485,-0.5850011442351877,-0.6026662969413707,-0.11401503019696028,1.08913106952585,0.19084071610663483
Argentine,1.5045574913086868,2.553227194377478,0.8826671389931318,-0.4872664932913535,2.5023760905455044,4.873791456398897,2.7252433104742027,0.321467870209951,0.1568162479104836,-1.0951439346304916,0.48826660371385766,1.336021163795713,-0.8422618190123472,0.3713934221007516,1.291195671871879
Arménie,-0.176139014514065,-0.47813222014245493,-0.2896455267310826,-0.22665495711885109,-0.4725000179856858,-0.3582991314758825,-0.5126577336640037,-0.46496848271708546,-0.3333802442026735,0.5047557596379598,-0.5176024591030947,-0.5155540345598353,-0.5873450232615978,-0.6062147528403309,-0.643598680262927
Australie,2.1423496140374696,1.301109545873422,-0.0517849858595029,-0.4100482603513528,1.3759028266738265,-0.3582991314758825,1.3818908772782583,3.4703442064518764,-2.008051525421908,-2.2056006303233975,0.013090889016158793,0.39925868479261134,-0.8282687729448837,1.2623780878698392,2.8042361301068004
Autriche,0.24974823356215767,-0.27867985135419826,0.1520954777447083,0.4972659766936557,-0.28667304160977397,-0.3582991314758825,-0.30633566713054594,2.7142762922980155,-0.9816400949972162,-1.3951251273058265,-0.3724549576662401,-0.3615048746670355,-0.6311493413858317,1.46037468026297,-1.2564028443983095
Azerbaïdjan,-0.38181139285331406,-0.3483298848993038,-0.2896455267310826,-0.3038731900588518,-0.33765212362440467,-0.3582991314758825,-0.37259968849895575,-0.44765306965601315,-1.8299801466542711,-0.7793742581301396,-0.34135144210884055,-0.3441119564337825,-0.35007163342199804,-0.7670869841597495,-0.5458314822623405
