Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","004","Afghanistan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","28937","A","Chiffre officiel"
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","28934","A","Chiffre officiel"
"TCL","Cultures et produits animaux","004","Afghanistan","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","36.99","A","Chiffre officiel"
"TCL","Cultures et produits animaux","004","Afghanistan","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","31","A","Chiffre officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","480345.55","A","Chiffre officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","410502","A","Chiffre officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","58258.84","A","Chiffre officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","87683","A","Chiffre officiel"
"TCL","Cultures et produits animaux","008","Albanie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17515.47","A","Chiffre officiel"
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","16481","A","Chiffre officiel"
"TCL","Cultures et produits animaux","012","Algérie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","0.4","A","Chiffre officiel"
"TCL","Cultures et produits animaux","012","Algérie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","2","A","Chiffre officiel"
"TCL","Cultures et produits animaux","276","Allemagne","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","474950.63","A","Chiffre officiel"
"TCL","Cultures et produits animaux","276","Allemagne","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1101592","A","Chiffre officiel"
"TCL","Cultures et produits animaux","276","Allemagne","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","300560.64","A","Chiffre officiel"
"TCL","Cultures et produits animaux","276","Allemagne","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","629582","A","Chiffre officiel"
"TCL","Cultures et produits animaux","024","Angola","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","265888.3","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","024","Angola","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","298200","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","024","Angola","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","98.38","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","024","Angola","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","93","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6143.69","A","Chiffre officiel"
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","11927","A","Chiffre officiel"
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","7.92","A","Chiffre officiel"
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","15","A","Chiffre officiel"
"TCL","Cultures et produits animaux","682","Arabie saoudite","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","730959.6","A","Chiffre officiel"
"TCL","Cultures et produits animaux","682","Arabie saoudite","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1232031","A","Chiffre officiel"
"TCL","Cultures et produits animaux","682","Arabie saoudite","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","37415.41","A","Chiffre officiel"
"TCL","Cultures et produits animaux","682","Arabie saoudite","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","145532","A","Chiffre officiel"
"TCL","Cultures et produits animaux","032","Argentine","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2097.23","A","Chiffre officiel"
"TCL","Cultures et produits animaux","032","Argentine","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","3891","A","Chiffre officiel"
"TCL","Cultures et produits animaux","032","Argentine","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","204098.83","A","Chiffre officiel"
"TCL","Cultures et produits animaux","032","Argentine","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","285244","A","Chiffre officiel"
"TCL","Cultures et produits animaux","051","Arménie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","34419.23","A","Chiffre officiel"
"TCL","Cultures et produits animaux","051","Arménie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","39238","A","Chiffre officiel"
"TCL","Cultures et produits animaux","036","Australie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3043","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","036","Australie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","13560","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","036","Australie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","38283.68","A","Chiffre officiel"
"TCL","Cultures et produits animaux","036","Australie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","46957","A","Chiffre officiel"
"TCL","Cultures et produits animaux","040","Autriche","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","45021.85","A","Chiffre officiel"
"TCL","Cultures et produits animaux","040","Autriche","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","152854","A","Chiffre officiel"
"TCL","Cultures et produits animaux","040","Autriche","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","38056.66","A","Chiffre officiel"
"TCL","Cultures et produits animaux","040","Autriche","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","132684","A","Chiffre officiel"
"TCL","Cultures et produits animaux","031","Azerbaïdjan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","23717.45","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","031","Azerbaïdjan","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","29922","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","031","Azerbaïdjan","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","69","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","031","Azerbaïdjan","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","99","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","044","Bahamas","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","11218.14","A","Chiffre officiel"
"TCL","Cultures et produits animaux","044","Bahamas","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","37217","A","Chiffre officiel"
"TCL","Cultures et produits animaux","048","Bahreïn","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","50133.32","A","Chiffre officiel"
"TCL","Cultures et produits animaux","048","Bahreïn","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","98096","A","Chiffre officiel"
"TCL","Cultures et produits animaux","048","Bahreïn","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","377.38","A","Chiffre officiel"
"TCL","Cultures et produits animaux","048","Bahreïn","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","836","A","Chiffre officiel"
"TCL","Cultures et produits animaux","050","Bangladesh","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","167.41","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","050","Bangladesh","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","118","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","050","Bangladesh","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","0.82","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","050","Bangladesh","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","5","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","052","Barbade","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","562.47","A","Chiffre officiel"
"TCL","Cultures et produits animaux","052","Barbade","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1858","A","Chiffre officiel"
"TCL","Cultures et produits animaux","052","Barbade","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","86.11","A","Chiffre officiel"
"TCL","Cultures et produits animaux","052","Barbade","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","302","A","Chiffre officiel"
"TCL","Cultures et produits animaux","112","Bélarus","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17840.21","A","Chiffre officiel"
"TCL","Cultures et produits animaux","112","Bélarus","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","11833","A","Chiffre officiel"
"TCL","Cultures et produits animaux","112","Bélarus","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","148967.79","A","Chiffre officiel"
"TCL","Cultures et produits animaux","112","Bélarus","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","220350","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","212149.49","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","329934","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","542999.26","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","880087","A","Chiffre officiel"
"TCL","Cultures et produits animaux","084","Belize","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","084","Belize","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","4","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","084","Belize","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","0","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","084","Belize","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","0","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","204","Bénin","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","70849.23","A","Chiffre officiel"
"TCL","Cultures et produits animaux","204","Bénin","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","63240","A","Chiffre officiel"
"TCL","Cultures et produits animaux","204","Bénin","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","12401.7","A","Chiffre officiel"
"TCL","Cultures et produits animaux","204","Bénin","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","18048","A","Chiffre officiel"
"TCL","Cultures et produits animaux","064","Bhoutan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1298.4","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","064","Bhoutan","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1683","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","690.09","A","Chiffre officiel"
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","645","A","Chiffre officiel"
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","848.1","A","Chiffre officiel"
"TCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1147","A","Chiffre officiel"
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","7408.64","A","Chiffre officiel"
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","7109","A","Chiffre officiel"
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","4217.35","A","Chiffre officiel"
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","5901","A","Chiffre officiel"
"TCL","Cultures et produits animaux","072","Botswana","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2230.64","A","Chiffre officiel"
"TCL","Cultures et produits animaux","072","Botswana","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","2723","A","Chiffre officiel"
"TCL","Cultures et produits animaux","072","Botswana","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","4.07","A","Chiffre officiel"
