ISO3;distance_km
ABW;7677.486897
AFG;5594.223377
AGO;6478.953877
AIA;6710.883702
ALB;1603.944535
AND;708.2136606
ARE;5251.803242
ARG;11025.34799
ARM;3439.396932
ASM;16117.69891
ATA;16705.41194
ATF;12671.14334
ATG;6711.070955
AUS;16957.68434
AUT;1036.7114
AZE;3822.723035
BDI;6350.316271
BEL;264.6008081
BEN;4709.456098
BES;7583.539941
BFA;4061.676161
BGD;7924.215032
BGR;1761.684997
BHR;4838.499797
BHS;7219.128524
BIH;1348.453128
BLM;6721.437924
BLR;1832.066997
BLZ;8602.730299
BMU;5757.850396
BOL;9804.137957
BRA;9377.800449
BRB;6879.39537
BTN;7574.056249
BWA;8472.241689
CAF;5165.367179
CAN;6016.729398
CCK;11345.03845
CHE;490.3051572
CHL;11626.95186
CHN;9283.668375
CIV;4644.913554
CMR;5014.662851
COD;5786.761153
COG;6017.566942
COK;16554.08329
COL;8632.231622
COM;7817.387362
CPV;4441.018223
CRI;8924.323328
CUB;7732.601395
CUW;7635.610051
CXR;11850.24248
CYM;7965.822157
CYP;2954.972339
CZE;884.6712766
DEU;880.6348377
DJI;5585.295235
DMA;6825.45189
DNK;1028.875241
DOM;7195.94557
DZA;1345.460397
ECU;9626.173816
EGY;3211.894954
ERI;4986.363651
ESH;2755.805982
ESP;1052.519371
EST;1863.392871
ETH;5566.295819
FIN;1913.222367
FJI;16579.28415
FRA;0
FRO;1570.805234
FSM;13097.73568
GAB;5413.107943
GBR;344.1367193
GEO;3380.409411
GGY;362.512473
GHA;4804.996217
GIB;1545.197106
GIN;4608.603754
GLP;6754.874561
GMB;4315.300487
GNB;4424.558079
GNQ;5255.331323
GRC;2098.682094
GRD;7119.029944
GRL;3593.213334
GTM;9003.536193
GUF;7074.181339
GUM;12175.73794
GUY;7308.347596
HKG;9645.855848
HND;8810.996302
HRV;1082.351382
HTI;7365.019671
HUN;1247.895864
IDN;11587.345
IMN;755.802072
IND;7018.087215
IOT;9200.575794
IRL;780.8404814
IRN;4219.837255
IRQ;3866.519023
ISL;2235.750569
ISR;3336.150737
ITA;1108.287142
JAM;7735.035942
JEY;327.8207861
JOR;3371.450998
JPN;9736.095008
KAZ;5569.873427
KEN;6468.625815
KGZ;5435.402047
KHM;9950.100885
KIR;14371.43542
KNA;6760.803027
KWT;4441.333447
LBN;3195.400953
LBR;4877.000397
LBY;1991.18498
LCA;6905.08777
LIE;565.9736774
LKA;8517.073454
LSO;9011.896798
LTU;1701.103154
LUX;287.9721862
LVA;1707.614663
MAC;9614.592906
MAR;1886.059916
MCO;689.8624402
MDA;1981.378059
MDG;8737.570231
MDV;8287.078263
MEX;9210.212312
MHL;13715.44015
MKD;1670.248031
MLI;4126.408658
MLT;1746.387903
MMR;8892.671881
MNE;1494.182007
MNG;7068.194246
MNP;12046.78858
MOZ;8815.86595
MRT;3791.854583
MSR;6763.90971
MTQ;6859.478865
MUS;9391.705201
MWI;7617.569434
MYS;10218.08077
MYT;8023.120465
NAM;8043.870643
NCL;16741.05531
NER;3918.84893
NFK;17491.37779
NGA;4700.791412
NIC;8901.602441
NIU;16627.49877
NLD;430.8868174
NOR;1344.019375
NPL;7250.639415
NRU;14449.41435
NZL;18540.08254
OMN;5617.317855
PAK;6138.327507
PAN;8667.068171
PCN;15137.85742
PER;10244.71939
PHL;10757.78805
PLW;12240.06464
PNG;14554.18461
POL;1370.877921
PRI;6913.87495
PRT;1453.608068
PRY;10140.87544
PSE;3336.233552
PYF;15715.0915
QAT;4978.412082
REU;9344.065815
ROU;1875.527312
RUS;2493.922256
RWA;6230.855375
SAU;4686.618146
SDN;4601.584868
SEN;4198.491691
SGP;10741.60237
SGS;11996.93489
SHN;7219.905352
SJM;3319.815293
SLB;15164.47642
SLE;4706.993623
SLV;8986.492433
SMR;948.3460083
SOM;6605.304029
SPM;4279.25116
SRB;1449.57508
SSD;5606.139603
STP;5392.539592
SUR;7183.4475
SVK;1091.707532
SVN;966.9484416
SWE;1547.14657
SWZ;8831.640817
SYC;7832.678017
SYR;3149.985678
TCA;7046.79604
TCD;4240.192773
TGO;4735.869183
THA;9454.494024
TJK;5300.76849
TKL;15509.64873
TKM;4587.014682
TLS;13117.52755
TON;16921.49704
TTO;7218.511269
TUN;1479.887274
TUR;2258.537538
TUV;15523.57561
TWN;9846.9534
TZA;7138.574822
UGA;6108.916305
UKR;2029.964144
URY;10936.0728
USA;5852.736948
UZB;5161.588379
VCT;6989.955338
VEN;7619.687246
VNM;10132.81446
VUT;16329.38198
WLF;16057.15643
WSM;16083.46855
YEM;5311.607947
ZAF;9306.63853
ZMB;7565.182929
ZWE;7914.128381
