Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB (en millions),Valeur US $ par habitant du PIB (en US dol),Valeur US $ du RNB (en millions),Valeur US $ par habitant du RNB (en US dol),Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Coût des fruits,"Coût en légumineuses, noix et graines",Coût en huile et graisse,Coût des féculents,Coût des légumes,Femmes,Hommes,Population rurale,Population totale,Population urbaine
Afrique du Sud,14.11,2118.0,63.0,514.0,2035.0,83.0,1667.0,349006.689642,6121.876572,338539.746832,5938.277421,4.102,1.059,0.727,0.852,0.129,0.633,0.702,29175.94,27465.269,19369.002,56641.209,37348.154
Albanie,6.26,47.0,0.0,38.0,47.0,0,13.0,13019.729856,4514.204908,13051.517242,4525.226241,3.952,1.204,0.911,0.441,0.089,0.599,0.707,1436.18,1443.175,1190.155,2879.355,1740.032
Algérie,1.97,277.0,0.0,2.0,264.0,13.0,275.0,170096.984537,4109.696001,167910.128603,4056.859597,3.763,0.964,0.979,0.493,0.132,0.496,0.699,20175.233,20961.313,11547.532,41136.546,29770.61
Allemagne,7.96,1739.0,646.0,842.0,1609.0,0,1514.0,3690849.152518,44651.829102,3778789.1837,45715.726076,2.786,0.666,0.714,0.301,0.052,0.235,0.816,41873.558,40750.817,18672.1,82624.374,63442.124
Angola,3.6,319.0,0.0,277.0,315.0,2.0,42.0,122123.858628,4095.811686,114534.316867,3841.272285,4.327,1.011,0.717,0.395,0.166,0.839,1.199,15293.335,14915.293,10472.554,30208.628,19311.639
Antigua-et-Barbuda,17.77,7.0,0.0,7.0,5.0,0,0.0,1467.977778,15383.415188,1427.607931,14960.366474,4.112,0.682,1.003,0.429,0.115,0.604,1.279,47.658,43.461,76.802,91.119,25.21
Arabie saoudite,15.57,1435.0,10.0,722.0,1435.0,0,616.0,688586.094413,20802.464299,699284.129095,21125.656252,3.441,1.031,0.739,0.303,0.173,0.457,0.738,14364.501,19828.621,5394.59,34193.122,27543.623
Argentine,13.53,1962.0,207.0,8.0,1856.0,106.0,2161.0,643628.396191,14648.845969,627200.466771,14274.949775,3.341,0.669,0.733,0.656,0.117,0.463,0.703,22249.068,21805.549,3652.804,44054.616,40618.237
Arménie,5.44,47.0,0.0,35.0,47.0,0.0,11.0,11527.458713,3914.525246,11934.829588,4052.861337,3.096,0.973,0.488,0.541,0.123,0.537,0.433,1556.899,1295.024,1081.248,2851.923,1849.202
Australie,16.6,1171.0,42.0,16.0,1171.0,0,1269.0,1416783.718751,57628.863849,1371861.981116,55801.634563,2.259,0.458,0.667,0.249,0.067,0.221,0.597,12391.577,12198.756,3446.638,24590.334,21003.923
Autriche,7.49,173.0,78.0,110.0,160.0,0,148.0,417261.151845,47309.051637,413348.647949,46865.452112,2.772,0.612,0.819,0.36,0.055,0.229,0.698,4472.011,4325.485,3660.707,8797.496,5074.746
